id,name,description,project,datetime_created,year_from,year_to
23,Traditional Business,For traditional business,"{'id': 2, 'name': 'Wingquistss', 'description': 'Seminar Wingquist april 19th', 'currency': 'k$', 'owner': {'id': 1, 'username': 'admin', 'email': None, 'full_name': None, 'disabled': False, 'scopes': 'admin'}, 'datetime_created': datetime.datetime(2023, 6, 9, 14, 11, 18, 247000), 'my_access_right': 4, 'project': None, 'subproject': {'name': 'Unnamed sub-project', 'application_sid': 'MOD.CVS', 'native_project_id': 2, 'id': 2, 'owner_id': 1, 'project_id': None, 'datetime_created': datetime.datetime(2023, 8, 3, 10, 42, 58, 131000)}}",2023-07-19 11:15:56.675,2023,2023
93,Traditional Business (1),For traditional business,"{'id': 2, 'name': 'Wingquistss', 'description': 'Seminar Wingquist april 19th', 'currency': 'k$', 'owner': {'id': 1, 'username': 'admin', 'email': None, 'full_name': None, 'disabled': False, 'scopes': 'admin'}, 'datetime_created': datetime.datetime(2023, 6, 9, 14, 11, 18, 247000), 'my_access_right': 4, 'project': None, 'subproject': {'name': 'Unnamed sub-project', 'application_sid': 'MOD.CVS', 'native_project_id': 2, 'id': 2, 'owner_id': 1, 'project_id': None, 'datetime_created': datetime.datetime(2023, 8, 3, 10, 42, 58, 131000)}}",2023-10-20 11:16:06.782,2023,2023
